address,contact,description,image_url,price,title
"Vermilion Apartments, Gunmakers Lane, London, E3",020 8115 2905,Elms Estates are absolutely delighted to be able to offer to the market For Sale this First Floor Studio Apartment set within this modern building of which construction was completed in 2014 and that would make the Ideal First Purchase. Vermillion Apartments is situated on Gunmakers Lane and...,https://media.onthemarket.com/properties/8354135/1330789978/image-0-480x320.jpg,"£350,000 ",Studio for sale
"Burnham Gardens, Hayes",020 8022 3069,A contemporary style family home located in a popular residential  cul de sac convenient for Hayes Town with its shopping and transport amenities. The property is within walking distance of the station and its eagerly awaited Crossrail Service which is due to be operational in 2021 with a fast...,https://media.onthemarket.com/properties/9778058/1330789933/image-0-480x320.jpg,"£399,950 ",3 bedroom property for sale
"Fenton Court, St. Giles Close, Heston, TW5",020 8033 0013,"Bright, spacious and well maintained, Move Inn Estates exclusively bring to the market this contemporary two bed, two bathroom first floor flat located in Heston close to an array of local amenities. As you enter you are met with a spacious hallway with laminate flooring through-out, which leads...",https://media.onthemarket.com/properties/9777999/1330789265/image-0-480x320.jpg,"£305,000 ",2 bedroom flat for sale
"Princes Court, Shoot Up Hill, London NW2",020 8033 1199,"AS MAIN AGENTS ALEXANDERS ARE DELIGHTED TO OFFER THIS WELL LOCATED 2 BEDROOM FLAT IN NW2 A spacious  two bedroom flat situated on the  second floor of this 1930's Art Deco building located in the heart of Shoot Up Hill,. The flat  offers excellent accommodation and includes an ensuite to the...",https://media.onthemarket.com/properties/9506850/1330789207/image-0-480x320.jpg,"£475,000 ",2 bedroom flat for sale
"Napier House, Bromyard Avenue",020 8115 0797,"Hawks are pleased to present this luxury one bedroom apartment in the sought after development of Napier West 3 in Acton.The property comprises: a double bedroom, open plan fitted kitchen/lounge with a balcony and a bathroom. There is wooden flooring throughout the property and a built in...",https://media.onthemarket.com/properties/9777957/1330788787/image-0-480x320.jpg,"£350,000 ",1 bedroom apartment for sale
"Winchelsea Road, Harlesden",020 8115 0958,"An immaculately presented Victorian house located in Harlesden. The property comprises three double bedrooms, two reception rooms, kitchen, family bathroom, downstairs w/c and rear garden. Added benefits include a downstairs w/c, and pre approved planning permission for both a rear and loft...",https://media.onthemarket.com/properties/9777943/1330788570/image-0-480x320.jpg,"£725,000 ",3 bedroom terraced house for sale
"West View Close, Neasden",020 8115 0958,"A split level maisonette located in Neasden. The property comprises three bedrooms, kitchen, living room, two bathrooms and a private rear garden. Neasden Underground is served by the Jubilee Line (Zone 3) and is situated 0.2 miles from the property. To avoid disappointment, call now to arrange a...",https://media.onthemarket.com/properties/9777944/1330788571/image-0-480x320.jpg,"£410,000 ",3 bedroom maisonette for sale
"Camlet Way, Hadley Wood, Herts",020 8022 6639,"A superb five bedroom detached family residence set on the south side of this premier sought after road in Hadley Wood with secluded south facing rear garden extending to approximately 115ft.  To the ground floor the spacious accommodation comprises three reception rooms, fitted kitchen/breakfast...",https://media.onthemarket.com/properties/9777933/1330788481/image-0-480x320.jpg,"£1,750,000 ",5 bedroom house for sale
"Hale Lane, Mill Hill, London, NW7",020 8115 1738,"*CHAIN FREE* A lovely 1 bedroom flat situated on the first floor of this converted property. Benefits include a luxury open-plan kitchen, a contemporary bathroom, fitted wardrobes, loft storage and a garage with parking in front. The flat is extremely well located for Mill Hill Broadway and would...",https://media.onthemarket.com/properties/9648552/1328026481/image-0-480x320.jpg,"£330,000 ",1 bedroom flat for sale
"Brook Close, Mill Hill, London, NW7",020 8115 1738,"An unusual 1 bedroom, end of terrace bungalow situated within this quiet cul-de-sac off Frith Court and only 0.5 miles from Mill Hill East Tube station. Benefits include an 18ft reception room, a 10ft kitchen, a double bedroom and communal gardens. The property is offered on a chain free basis...",https://media.onthemarket.com/properties/9777928/1330788378/image-0-480x320.jpg,"£335,000 ",1 bedroom flat for sale
"Frognal Avenue, Harrow, HA1",020 8128 4415,"Stones Residential are pleased to offer this ground floor apartment set within a period conversion. The property comprises of main reception room with open plan kitchen, two double bedrooms and a bathroom with large rear garden. The property is in close proximity to high street and local...",https://media.onthemarket.com/properties/9777923/1330788057/image-0-480x320.jpg,"£350,000 ",2 bedroom apartment for sale
"Charles House, 385 Kensington High Street, Kensington, London, W14",020 8022 6897,"A beautifully presented, bright and very spacious one DOUBLE BEDROOM apartment for SALE, located on the 9th floor (with lift) of this prestigious new development on Kensington High Street. The property further benefits from an OPEN PLAN reception room with a smart integrated kitchen with Miele...",https://media.onthemarket.com/properties/9777893/1330787739/image-0-480x320.jpg,"£1,025,000 ",1 bedroom flat for sale
"1 Ebury Square, Belgravia, London, SW1W",020 8022 6897,"A two double bedroom apartment for sale of approx. 1767sq.ft (164.2sq.m) on the 3rd floor (with lift) of this exclusive development on Ebury Square, Belgravia. This interior designed apartment has high quality fixtures, fittings, decoration all designed for luxurious living. Further benefits...",https://media.onthemarket.com/properties/9777892/1330787730/image-0-480x320.jpg,"£4,760,000 ",2 bedroom flat for sale
"Blockley Road, Wembley",020 8115 0944,Daniels are delighted to present to the market yet another fantastic three bedroom Mock Tudor semi detached family home on the soughtafter SUDBURY COURT ESTATE. This much loved family,https://media.onthemarket.com/properties/9777874/1330787524/image-0-480x320.jpg,"£725,000 ",3 bedroom property for sale
"Primrose Gardens, Bushey",020 8115 3253,"Benjamin Stevens are delighted to present this TWO DOUBLE BEDROOM CHARACTER COTTAGE located on a quiet turning in Bushey.Downstairs you will find two reception rooms with solid wood flooring, feature fireplace and a modern kitchen leading into a utility area which could be used as an office....",https://media.onthemarket.com/properties/8904386/1330787449/image-0-480x320.jpg,"£390,000 ",2 bedroom terraced house for sale
"Arden Close, Bushey Heath, Bushey",020 8115 3253,"Benjamin Stevens are pleased to present this TWO DOUBLE BEDROOM semi detached bungalow located on a quiet close in the Heart of Bushey Heath.Inside you will find two double bedrooms, large 26' lounge/dining room, bright kitchen leading into a morning room plus a modern bathroom and separate WC....",https://media.onthemarket.com/properties/8906777/1330787448/image-0-480x320.jpg,"£550,000 ",2 bedroom semi-detached bungalow for sale
"Abercorn Place, St John's Wood, NW8",020 8022 6898,"Set within this prestigious building with 24hour porter and communal garden.The apartment is situated on the ground floor and comprises a bright studio room with wooden floors and large window overlooking the communal gardens, a fully fitted kitchen and separate bathroom with shower. Benefits...",https://media.onthemarket.com/properties/9777860/1330787435/image-0-480x320.jpg,"£315,000 ",Studio for sale
"Ardwick Road, The Hocrofts, NW2",020 8022 6995,"Forming part of a stunning recent development, situated on the first floor of this converted detached corner property, an exceptionally spacious two bedroom, two bathroom apartment presented in immaculate condition.Specification: Bosch Built-In appliances Brushed grey matt oak engineered parquet...",https://media.onthemarket.com/properties/8038111/1330787193/image-0-480x320.jpg,"£695,000 ",2 bedroom flat for sale
Orchard Rise West Sidcup DA15,020 8115 0011,"Guide Price £385,000 - £400,000

Unveiled to the market is this immaculate three bedroom, extended 1930’s family home in DA15. Located on this popular residential road in Sidcup.

Energy Efficiency Rating: D",,"£385,000 ",3 bedroom terraced house for sale
"Justin Close, Brentford",020 8033 5864,"A wonderful property great for seasoned and first time buyers alike, offered with residents parking and communal gardens in a PRIVATE WATERSIDE DEVELOPMENT a few minutes from the town center in Brentford. The property benefits from WOODEN FLOORING THROUGHOUT, FITTED STORAGE and consists of an...",https://media.onthemarket.com/properties/9777783/1330786995/image-0-480x320.jpg,"£300,000 ",1 bedroom flat for sale
"Edgeley Road, London",020 8115 3169,"This  2 bedroom 1st floor flat offers an opportunity to buy in the heart of Clapham,  modern, comfortable, and stylish, this very well presented apartment is wonderfully light and benefits from a generously sized open plan reception which incorporates a fully fitted modern kitchen with integrated...",https://media.onthemarket.com/properties/9271627/1323915182/image-0-480x320.jpg,"£500,000 ",2 bedroom flat for sale
"William Bonney Estate, Clapham, London",020 8022 7021,"A well-presented two bedroom flat situated within a short walk of Clapham Common and all of it's amenities. This well-proportioned property has recently been renovated throughout, offering two double bedrooms, a fully fitted kitchen that leads into a spacious living room and a modern bathroom....",https://media.onthemarket.com/properties/9777721/1330786299/image-0-480x320.jpg,"£399,995 ",2 bedroom flat for sale
"Wades Hill, Winchmore Hill",020 8115 0344,"Havilands are pleased to offer this 4 bedroom character linked detached house in a sought after location. The property comprises of 3 receptions rooms, fully functional kitchen, downstairs w.c, 4 bedrooms, 2 bathrooms, 100ft rear garden and off street parking for several cars.We have pleasure in...",https://media.onthemarket.com/properties/9616269/1326106490/image-0-480x320.jpg,"£1,050,000 ",4 bedroom detached house for sale
"Crothall Close, London, N13",020 8115 0828,"Addison Townsend are delighted to offer this bright ground floor flat with spacious and bright accommodation with 12' ceiling height. Offering double bedroom, spacious reception room open plan to fully fitted kitchen, bathroom, loft and gated parking. Located in a stunning school conversion with...",https://media.onthemarket.com/properties/9777668/1330785184/image-0-480x320.jpg,"£335,000 ",1 bedroom flat for sale
"Lily Close, Pinner",020 3641 8830,"Sold.co.uk are delighted to offer to the market this centrally located 2 bedroom apartment.  All local amenities can be easily accessed including local shops, local schools and transport links.  Briefly the accommodation comprises an entrance hall leading onto the spacious open plan...",https://media.onthemarket.com/properties/9777661/1330785096/image-0-480x320.jpg,"£395,000 ",2 bedroom apartment for sale
"St Benedict's Close, Tooting",020 8022 6812,"A superbly-appointed first floor two bedroom apartment which has been completely refurbished by the current owner. Highlights include a large master bedroom with walk-in wardrobe, a second bedroom with built-in wardrobe and an over-sized sitting and dining room providing excellent entertaining...",https://media.onthemarket.com/properties/9255613/1330785094/image-0-480x320.jpg,"£359,950 ",2 bedroom flat for sale
"Glebelands, West Molesey",020 3641 4526,"Harmes Turner Brown are pleased to offer this attractive two bedroom semi-detached period home which is situated in a quiet cul-de-sac location, which is close to shops and bus links giving access to Hampton Court station and Hampton Court palace. The well planned accommodation briefly comprises...",https://media.onthemarket.com/properties/9777638/1330784928/image-0-480x320.jpg,"£500,000 ",2 bedroom house for sale
"Maurice Court,  Brentford",020 8115 0796,"Hawks Property are pleased to present this spacious 3 bedroom apartment in the heart of the Brentford docks!The property comprises: 3 bedrooms, family bathroom, kitchen/diner and lounge leading onto a private balcony. The property comes with a 145 year lease and service charges include hot water...",https://media.onthemarket.com/properties/9392434/1330784896/image-0-480x320.jpg,"£450,000 ",3 bedroom apartment for sale
"Fairfax Road, South Hampstead, London",020 8022 6992,Elegant one bedroom apartment  -  Private balcony with fantastic views  -  Top floor of purpose built block  -  Spacious 18'7 south facing reception room  -  580 sq ft / 54 sq m  -  Separate fully fitted kitchen  -  Recently refurbished  -  South Hampstead conservation area location  -  Short...,https://media.onthemarket.com/properties/9187230/1330784823/image-0-480x320.jpg,"£490,000 ",1 bedroom flat for sale
"Albert Road, Ilford, Essex, IG1",020 8033 3840,"*GUIDE PRICE £275,000 - £300,000*  NEW KITCHEN - PARKING - GARDEN  Sandra Davidson Estate Agents are pleased to present this first floor 2 bedroom (including loft) flat, situated in a popular location close to Ilford Town Centre. The property has been well maintained and is close to Ilford...",https://media.onthemarket.com/properties/9756639/1329989611/image-0-480x320.jpg,"£275,000 ",2 bedroom flat for sale
"Park Road, Hampton Hill",020 8033 5523,"This is one of Hampton Hills most elegant and recognisable three storey Victorian built family homes. Located just off the High Street and within moments of Bushy Park and Teddington, this charming residence is being offered to the market with no onward chain.  Constructed in circa 1868 there are...",https://media.onthemarket.com/properties/9777595/1330784493/image-0-480x320.jpg,"£1,695,000 ",5 bedroom semi-detached house for sale
"Bowford Avenue, Bexleyheath",020 8115 1536,"* PRICE RANGE £475,000 - £500,000 *CALLING ALL BOWYER BUNGALOW LOVERS, I think Christmas may have just come a little early for you!This EXTENDED home is offered to the market CHAIN FREE giving the lucky buyer the possibility of getting in there new property without having to pay stamp duty. (MUST...",https://media.onthemarket.com/properties/9777550/1330783943/image-0-480x320.jpg,"£475,000 ",3 bedroom semi-detached bungalow for sale
"Banner Street, London, EC1Y",020 8033 1853,"A rare freehold house spanning 1,182 sqft (approx.) located on Banner Street in the centre of Clerkenwell.",https://media.onthemarket.com/properties/9777457/1330783759/image-0-480x320.jpg,"£1,200,000 ",2 bedroom end of terrace house for sale
"Sweet Briar Grove, London",020 8033 5303,"N&N Properties are proud to present this 3 bedroom, mid terrace, Victorian house situated close to silver street station N18.The property is in a quiet residential street overlooking close to Pymmes park.  The property is ideal for a residential buyer looking to put there stamp on it.Similarly,...",https://media.onthemarket.com/properties/9777305/1330783032/image-0-480x320.jpg,"£375,000 ",3 bedroom terraced house for sale
"London Road, Enfield",020 8115 2861,"Kings Group - Enfield Town are proud to present this CHAIN FREE TWO BEDROOM MAISONETTE which comprises of a double bedroom, a single bedroom, three piece shower room suite, fully fitted open plan kitchen/living area. The property is located within walking distance of Enfield Town Station offering...",https://media.onthemarket.com/properties/9521367/1325202310/image-0-480x320.jpg,"£255,000 ",2 bedroom maisonette for sale
"Alberta Road, Enfield",020 8115 2861,Kings Group - Enfield Town are delighted to bring to the market this CHAIN FREE One Bedroom First Floor Maisonette which is located within walking distance of Bush Hill Park Mainline Station offering fast links into London and surrounding areas. It also benefits from having good road links being...,https://media.onthemarket.com/properties/9777300/1330782885/image-0-480x320.jpg,"£295,000 ",1 bedroom maisonette for sale
"2 Annabel Close, London",01494 912887,This light and spacious first floor two bedroom apartment is an impressive 860 Sq ft (excluding the balcony).Shepherd Court is set within a sought after block in the catchment of  the prestigious Mayflower Primary School which is rated     Outstanding by Ofsted. All Saints and Poplar DLR is...,https://media.onthemarket.com/properties/9777296/1330782873/image-0-480x320.jpg,"£425,000 ",2 bedroom flat for sale
"Fleet Road, Hampstead NW3",020 8022 7320,"A stylish and well presented two double bedroom flat, occupying the ground floor of a Victorian conversion. There is a charming private garden at the rear of the property, and the position along Fleet Road is enviable, being just a short stroll from the many amenities found at South End Green,...",https://media.onthemarket.com/properties/9615486/1326096411/image-0-480x320.jpg,"£650,000 ",2 bedroom flat for sale
"Gartons Close, Enfield",020 8115 2863,"*157 YEAR LEASE UPON COMPLETION* KINGS GROUP Are delighted to offer this ONE DOUBLE BEDROOM Flat To the Market. This would make an IDEAL BUY TO LET OPPORTUNITY or First Time Buy.  Situated within the PONDERS END Location which is close proximity to Local Shops, Amenities, Ponders End & Southbury...",https://media.onthemarket.com/properties/9777127/1330781790/image-0-480x320.jpg,"£220,000 ",1 bedroom flat for sale
"Broadfield Square, Enfield",020 8115 2863,"KINGS GROUP Are delighted to offer this THREE BEDROOM, Terraced House to the market. A RARE addition to the market this wonderful opportunity has potential for FURTHER DEVELOPMENT STP and would make an ideal FIRST TIME BUY or an INVESTMENT Opportunity.  Benefiting from a Spacious Lounge/Dining...",https://media.onthemarket.com/properties/9698811/1328249252/image-0-480x320.jpg,"£384,995 ",3 bedroom terraced house for sale
"Fisher Close, Enfield",020 8115 2863,*165+ LEASE* KINGS GROUP Are delighted to offer this Rarely available ONE BEDROOM FLAT SITUATED in Enfield Island Village. This Well Presented Property is Situated within close proximity to Enfield Lock Station offering great access into TOTTENHAM HALE & LONDON LIVERPOOL STREET. Also benefiting...,https://media.onthemarket.com/properties/9777125/1330781778/image-0-480x320.jpg,"£210,000 ",1 bedroom flat for sale
"Shoot Up Hill, London",020 8033 8537,"We are delighted to market this 2 double bedroom, 2 bathroom third floor apartment with lift and in need of some updating. Offering over 1000 sq.ft of accommodation this really bright flat offers amazing living space and great views. A host of benefits including underfloor heating, parking,...",https://media.onthemarket.com/properties/9777099/1330781320/image-0-480x320.jpg,"£499,950 ",2 bedroom flat for sale
Sandstone Road Grove Park SE12,020 8022 6849,"VIRTUAL TOUR AVAILABLE

Just 500m from the ever popular Zone 4 Grove Park station is this brilliantly located ground floor two bedroom split level maisonette with a private south facing patio garden.

Energy Efficiency Rating C.",,"£300,000 ",2 bedroom maisonette for sale
"Naomi Street, Greenland Place SE8",020 8033 1639,"A quite simply exquisite 832sqft apartment in Greenland Place. The many features include a 70sqft south-facing covered balcony, dual-aspect reception, one of the larger style kitchens in the development, a secure parking space, two bathrooms and use of the onsite gym and concierge. Chain free.",https://media.onthemarket.com/properties/9377155/1319140617/image-0-480x320.jpg,"£535,000 ",2 bedroom apartment for sale
"Fellows Road, Swiss Cottage, NW3",020 8022 7296,"A smart, newly refurbished, first floor, two double bedroom apartment with brand new kitchen, bathroom, laminate flooring and neutral decor throughout, measuring approximately 573 sq ft (53.2 sq m) situated moments from Swiss Cottage tube and amenities of Primrose Hill.",https://media.onthemarket.com/properties/9776833/1330778113/image-0-480x320.jpg,"£569,950 ",2 bedroom apartment for sale
"Queens Road, Waltham Cross, EN8",01992 843805,"Castles market this chain free three double bedroom tunnel terrace Victorian residence.  Refurbished throughout it comprises two reception rooms, modern kitchen, modern ground floor bathroom and a courtyard style rear garden with side access.",https://media.onthemarket.com/properties/9776811/1330775915/image-0-480x320.jpg,"£374,995 ",3 bedroom terraced house for sale
"Westwell Mews, London",020 8033 5026,"HOLMES is privileged to present this fantastic two bedroom terraced house situated in Streatham within close proximity to Streatham Common Train Station and Streatham Station. The property benefits from two double bedrooms, spacious downstairs living space and kitchen, electric central heating.",https://media.onthemarket.com/properties/9776810/1330775909/image-0-480x320.jpg,"£500,000 ",2 bedroom house for sale
"Elm Walk, Wimbledon, London, SW20",020 8022 6587,A superb four bedroom house in Raynes Park close to the station.,https://media.onthemarket.com/properties/9658662/1327014767/image-0-480x320.jpg,"£785,000 ",4 bedroom terraced house for sale
"Valence Avenue, Dagenham",01268 987861,"WilsonWood Properties are delighted to offer for sale this mid terrace 2 double bedroom house, in a great central location close to local bus and road links to CHADWELL HEATH station",https://media.onthemarket.com/properties/9366501/1318908806/image-0-480x320.jpg,"£325,000 ",2 bedroom terraced house for sale
"Forest Way, Woodford Green, Essex, IG8",020 8022 6675,A delightful 4 bedroom character house in a great position complemented by lovely mature gardens.,https://media.onthemarket.com/properties/6867053/1330774790/image-0-480x320.jpg,"£1,350,000 ",4 bedroom detached house for sale
"Lower Hampton Road, Sunbury-on-Thames, Middlesex, TW16",01932 964752,Unique opportunity to build your dream home on the banks of the River Thames.,https://media.onthemarket.com/properties/9776776/1330774768/image-0-480x320.jpg,"£1,250,000 ",Plot for sale
"Hornchurch Road, Hornchurch, RM12",01708 954918,"Offered for sale with the advantage of no onward chain and situated within 0.8 miles of Romford Crossrail station is this extended, three bedroom semi-detached house. Features include three reception rooms, a 56' south facing rear garden and off-street parking to the front.",https://media.onthemarket.com/properties/9776731/1330772691/image-0-480x320.jpg,"£425,000 ",3 bedroom semi-detached house for sale
"Lytton Avenue, N13",020 3641 1556,"Occupying the first floor of this character Edwardian Devonshire Longhouse conversion, this bright and spacious property is situated in a quiet cul-de-sac on the borders of Palmers Green and Winchmore Hill within easy reach of shopping and transport facilities.",https://media.onthemarket.com/properties/9219665/1330772042/image-0-480x320.jpg,"£300,000 ",1 bedroom apartment for sale
"Weald Lane, Harrow",020 8022 2527,This stunning one bedroom flat comes to the market with the benefit of a brand new lease. The property suits itself to first time buyers and buy to let investors alike. With its own private garden and off street parking the property is an ideal purchase.,https://media.onthemarket.com/properties/8211555/1330771327/image-0-480x320.jpg,"£250,000 ",1 bedroom flat for sale
"PROPERTY REFERENCE 210 - Bromley Road, London",01793 988701,PROPERTY REFERENCE 210Spacious and well presented first floor victorian style apartment. Walking distance to:- Bellingham train station (6 minutes).- Catford bus station (2 minutes).Both with direct links into London and Bromley town centre.,https://media.onthemarket.com/properties/9776712/1330771304/image-0-480x320.jpg,"£310,000 ",3 bedroom apartment for sale
"Park Avenue, Barking, Essex, IG11",020 8033 5567,"AN EXTREMELY SPACIOUS 5 DOUBLE BEDROOM END OF TERRACE HOUSE WITH 3 SHOWER ROOMS, ONE TO EACH FLOOR AND TWO RECEPTION ROOMS.Additional benefits include double glazing, GCH system,fitted kitchen, conservatory, side pedestrian access,off street parking and garden to the rear of the property.CHAIN FREE.",https://media.onthemarket.com/properties/9776694/1330968273/image-0-480x320.jpg,"£479,950 ",5 bedroom terraced house for sale
"Burntwood Grange Road, SW18",020 8022 7033,"A bright and spacious three bedroom house, with a garage and parking, located on a popular, quiet and friendly row of houses by Wandsworth Common. Arranged over three floors, this bright and spacious terraced house has been fully refurbished with flexible living space, allowing study, living and..",https://media.onthemarket.com/properties/9776690/1330770252/image-0-480x320.jpg,"£1,075,000 ",3 bedroom terraced house for sale
"Spring Gardens, Romford, RM7",020 8033 4481,"ATTENTION FIRST TIME BUYERS AND INVESTORS! Located in the sought after Spring Gardens development, within walking distance to Romford Town and station is this one bedroom apartment with balcony. Offered with a long lease of 243 years, the property has fitted kitchen, bathroom and your own private...",https://media.onthemarket.com/properties/9745221/1329616759/image-0-480x320.jpg,"£230,000 ",1 bedroom apartment for sale
"3 Bed 2 Bath, New Malden",020 8115 2536,"An opportunity to acquire an , ATTRACTIVE modern home, carefully designed offering 3 bedrooms. NO FORWARD CHAINBuilt in the 90s by the reputable Berkley Homes this is a rare thing a modern house that is practical yet pleasing on the eye, comfortably and complimented by a well-proportioned...",https://media.onthemarket.com/properties/7402480/1330768613/image-0-480x320.jpg,"£500,000 ",3 bedroom terraced house for sale
"Evelyn Street, Deptford SE8",020 3544 5931,A superbly presented two bedroom Victorian conversion. The property Boasts an airy and bright lounge and separate fully fitted kitchen leading to a private garden. Further benefits include two large bedrooms and modern family bathroom with the property in good condition throughout. Evelyn Street...,https://media.onthemarket.com/properties/9170087/1313582797/image-0-480x320.jpg,"£525,000 ",2 bedroom flat for sale
"Elm Park Gardens, London",020 8022 7256,"A striking top floor apartment with lift and far reaching gardenviews. The design cuts an elegant generous two bedroomflat with a seperate kitchen, dining room and reception.",https://media.onthemarket.com/properties/8979967/1325923772/image-0-480x320.jpg,"£1,650,000 ",2 bedroom penthouse for sale
"Chesterton Road, Ladbroke Grove, London, W10 6ES",020 8115 0688,"Located in the heart of Ladbroke Grove, we have pleasure offering this lovely one bedroom flat in this attractive period building. The flat is situated on the second floor (top floor) and offers a reception room with feature fireplace and wood flooring, fully fitted kitchen with fitted...",https://media.onthemarket.com/properties/9484201/1322640953/image-0-480x320.jpg,"£425,000 ",1 bedroom flat for sale
"Hyde Park Square, W2",020 3641 0753,"A wonderful and bright one bedroom apartment (552sq ft/51.3sq m) in a portered building on this beautiful garden square.  Kept in pristine condition this contemporary apartment consists of a large open plan kitchen and reception room, double bedroom with built in wardrobes and separate bathroom. ...",https://media.onthemarket.com/properties/9776554/1330763509/image-0-480x320.jpg,"£1,000,000 ",1 bedroom apartment for sale
"Thurso Street, Tooting Broadway",020 3544 5511,"Thurso Street, Tooting Broadway SW17This attractive 4 bedroom terrace property is located on a quiet residential street. Positioned within a very short walking distance from Tooting Broadway Tube station [Northern line] and all local amenities including Sainsbury's supermarket.The property...",https://media.onthemarket.com/properties/9776514/1330761122/image-0-480x320.jpg,"£860,000 ",4 bedroom terraced house for sale
"Camden Grove, Chislehurst",020 8022 7078,A one bedroom loft conversion in central Chislehurst with a share of freehold and available chain free! This property benefits from a private roof terrace with far reaching views. Immediate viewing is recommended to avoid disappointment.,https://media.onthemarket.com/properties/9776497/1330760892/image-0-480x320.jpg,"£325,000 ",1 bedroom flat for sale
"Janson Court, 16 Granville Road, Sidcup, DA14 4BY",020 8022 7086,"Village Estates are pleased to present a two bedroom (potentially three bed) ground floor flat, part of a well maintained building that has the added benefit of a SHARE OF THE FREEHOLD. Offered with no forward chain, vacant possession, ready to move straight into.",https://media.onthemarket.com/properties/9776460/1330760161/image-0-480x320.jpg,"£300,000 ",2 bedroom flat for sale
"Bracken Knoll, Courtenay Avenue, N6",020 8022 6656,"This fine house has Planning consent for a magnificent new residence of 13,488 sq ft over four floors behind a retained faade to include a substantial leisure complex with swimming pool and cinema.This rarely available and beautifully elegant detached home brimming with character and period charm...",,"£8,650,000 ",6 bedroom detached house for sale
"Shelley Close, Orpington",01689 251850,"Superbly presented 3 double bedroom semi detached house in a residential cul de sac close to highly regarded schools including Newstead Grammar, Tubbenden and Darrick Wood.",https://media.onthemarket.com/properties/9776459/1330760129/image-0-480x320.jpg,"£575,000 ",3 bedroom semi-detached house for sale
"Eversholt Street, Camden, London, NW1",020 8033 2988,"A newly refurbished  two double bedroom  apartment set on the third floor of a superbly located building moments from both Euston and King's Cross stations. The property offers a wide entrance hall, bright and spacious reception room, brand new kitchen, 2 double bedrooms and a brand new family...",https://media.onthemarket.com/properties/9776449/1330759998/image-0-480x320.jpg,"£575,000 ",2 bedroom flat for sale
"No 1 Centric Close, Oval Road, Camden, London, NW1",020 8033 2988,"Last remaining unit!,  a BRAND NEW bright and spacious two double bedroom fourth floor apartment offering over 800 sqft of internal living space. Master bedroom with en-suite bathroom, balcony and huge communal roof terrace, be in before the stamp duty holiday ends!. You’ll discover Mode on a...",https://media.onthemarket.com/properties/9776448/1330759997/image-0-480x320.jpg,"£695,000 ",2 bedroom flat for sale
"The Tower, 1 St George Wharf, Vauxhall",020 8022 6931,"An impressive 3 bedroom apartment with amazing  views towards Westminster situated in The Tower, a 181 meters tall only  residential building . The apartment benefits from 3 double bedrooms with fitted wardrobes, 2 marble bathrooms, and large reception room with fully fitted open plan kitchen....",https://media.onthemarket.com/properties/9776447/1330759992/image-0-480x320.jpg,"£2,450,000 ",3 bedroom flat for sale
"Collier Row Road, Collier Row",01708 954885,"Lovely terraced 2 bedroom bungalow, though needs some modernisation this will make a nice home for someone who likes a project to make it there own. Added benefits of a conservatory looking over the garden. Utility room. Located for Collier Row shopping parade and bus routes. No chain EPC D",https://media.onthemarket.com/properties/9776438/1330759824/image-0-480x320.jpg,"£275,000 ",2 bedroom terraced bungalow for sale
"Jubilee Court, Greenwich, SE10 9FL",020 8128 4402,"This one bedroom apartment is located on the fifth floor of Jubilee Court. The apartment offers modern internal living space, is immaculately presented throughout & available fully furnished.The apartment comprises a light, spacious reception including an open-plan, fully fitted kitchen with a...",https://media.onthemarket.com/properties/9408013/1329945506/image-0-480x320.jpg,"£405,000 ",1 bedroom apartment for sale
"Sharleston Court, Barking IG11",020 8022 6371,"This beautifully presented two bedroom, two bathroom apartment is located on the 5th floor of a recently built development, boasts river views & has a secure gated parking space.Situated over 757 Sq. Ft Internally the property has a bright & airy open plan living/kitchen area with Zanussi...",https://media.onthemarket.com/properties/9776404/1330759279/image-0-480x320.jpg,"£395,000 ",2 bedroom apartment for sale
"Roxburgh Road, West Norwood, London, SE27",020 8022 6748,"An immaculately presented three to four bedroom semi-detached 1930's family home, Further accommodation comprises; two receptions rooms, kitchen, downstairs WC, conservatory, downstairs study/fourth bedroom, bathroom,  separate upstairs WC, private front and 100 ft rear garden, and off (contd...)",https://media.onthemarket.com/properties/9776391/1330759054/image-0-480x320.jpg,"£899,950 ",3 bedroom house for sale
"Egerton Gardens, London, NW10",020 8022 6581,A fantastic opportunity to breathe new life into this attractive semi-detached family home in Kensal Rise.,https://media.onthemarket.com/properties/9776385/1330758868/image-0-480x320.jpg,"£1,350,000 ",3 bedroom semi-detached house for sale
"Lancaster Grove, London",020 8115 3194,"Arranged over the raised ground floor of this private development, is this stylish and well presented three-bedroom, two-bathroom apartment. Features include a generous 21’8 x 20’ reception room with fitted open plan kitchen, master bedroom with Juliette balcony and an en-suite shower room....",https://media.onthemarket.com/properties/9446666/1330758693/image-0-480x320.jpg,"£995,000 ",3 bedroom apartment for sale
"Old Church Road, London, E1",020 8033 5567,"A spacious 3 bedroom upper floor split level maisonette. The property benefits from double glazing, a GCH system, recently fitted kitchen with integrated appliances, separate bathroom and cloakroom and balcony. Limehouse, Stepney Green and Whitechapel Stations are in close proximity.",https://media.onthemarket.com/properties/9776378/1330758650/image-0-480x320.jpg,"£450,000 ",3 bedroom flat for sale
"Ladbroke Grove, London, W10",020 8022 6985,"A well laid out, bright property set on the first floor of this period building. The property comprises of a well sized living room with fantastic high ceilings, leading down some steps into a separate kitchen. (contd...)",https://media.onthemarket.com/properties/9776377/1330758595/image-0-480x320.jpg,"£450,000 ",2 bedroom flat for sale
